pref_id,name,kana
010006,北海道,ホッカイドウ
020001,青森県,アオモリケン
030007,岩手県,イワテケン
040002,宮城県,ミヤギケン
050008,秋田県,アキタケン
060003,山形県,ヤマガタケン
070009,福島県,フクシマケン
080004,茨城県,イバラキケン
090000,栃木県,トチギケン
100005,群馬県,グンマケン
110001,埼玉県,サイタマケン
120006,千葉県,チバケン
130001,東京都,トウキョウト
140007,神奈川県,カナガワケン
150002,新潟県,ニイガタケン
160008,富山県,トヤマケン
170003,石川県,イシカワケン
180009,福井県,フクイケン
190004,山梨県,ヤマナシケン
200000,長野県,ナガノケン
210005,岐阜県,ギフケン
220001,静岡県,シズオカケン
230006,愛知県,アイチケン
240001,三重県,ミエケン
250007,滋賀県,シガケン
260002,京都府,キョウトフ
270008,大阪府,オオサカフ
280003,兵庫県,ヒョウゴケン
290009,奈良県,ナラケン
300004,和歌山県,ワカヤマケン
310000,鳥取県,トットリケン
320005,島根県,シマネケン
330001,岡山県,オカヤマケン
340006,広島県,ヒロシマケン
350001,山口県,ヤマグチケン
360007,徳島県,トクシマケン
370002,香川県,カガワケン
380008,愛媛県,エヒメケン
390003,高知県,コウチケン
400009,福岡県,フクオカケン
410004,佐賀県,サガケン
420000,長崎県,ナガサキケン
430005,熊本県,クマモトケン
440001,大分県,オオイタケン
450006,宮崎県,ミヤザキケン
460001,鹿児島県,カゴシマケン
470007,沖縄県,オキナワケン
